plant1_train.mea_ddhr,plant1_train.tem_in_loc1,plant1_train.hum_in_loc1,plant1_train.tem_coil_loc1,plant1_train.tem_in_loc2,plant1_train.hum_in_loc2,plant1_train.tem_coil_loc2,plant1_train.tem_in_loc3,plant1_train.hum_in_loc3,plant1_train.tem_coil_loc3,plant1_train.tem_out_loc1,plant1_train.hum_out_loc1,temp_24,hum_24,temp_48,hum_48,plant1_train.cond_loc1,plant1_train.cond_loc2,plant1_train.cond_loc3
2016-04-05 18:00:00,19.0,29.0,15.0,18.0,31.0,14.0,17.0,36.0,14.0,16.0,25.0,18.9,29,18.200001,59,0.0,0.0,0.0
2016-04-05 21:00:00,18.0,37.0,15.0,17.0,41.0,14.0,16.0,48.0,13.0,13.0,28.0,13.7,59,15.4,64,0.0,0.0,0.0
2016-04-06 12:00:00,17.0,60.0,14.0,14.0,56.0,13.0,13.0,60.0,12.0,19.0,28.0,16.0,66,10.0,67,0.0,0.0,0.0
2016-04-06 15:00:00,19.0,50.0,16.0,15.0,46.0,15.0,14.0,50.0,14.0,20.0,26.0,18.299999,60,15.0,30,0.0,0.0,0.0
2016-04-06 18:00:00,19.0,49.0,16.0,18.0,46.0,15.0,17.0,52.0,15.0,19.0,33.0,15.6,64,16.5,25,0.0,0.0,0.0
2016-04-06 21:00:00,17.0,54.0,14.0,17.0,54.0,14.0,15.0,58.0,14.0,14.0,62.0,11.3,80,14.0,34,0.0,0.0,0.0
2016-04-07 12:00:00,16.0,58.0,14.0,14.0,62.0,12.0,13.0,65.0,9.0,13.0,55.0,15.5,35,9.2,77,0.0,0.0,0.0
2016-04-07 15:00:00,18.0,52.0,15.0,17.0,54.0,15.0,16.0,64.0,13.0,16.0,40.0,16.9,28,14.8,51,0.0,0.0,0.0
2016-04-07 18:00:00,17.0,57.0,15.0,17.0,56.0,14.0,15.0,68.0,14.0,16.0,53.0,13.7,54,16.700001,54,0.0,0.0,0.0
2016-04-07 21:00:00,15.0,59.0,14.0,17.0,62.0,14.0,13.0,60.0,12.0,12.0,69.0,9.4,77,13.7,59,0.0,0.0,0.0
2016-04-08 12:00:00,15.0,72.0,13.0,14.0,77.0,11.0,13.0,80.0,10.0,12.0,63.0,14.8,59,12.5,78,0.0,0.0,1.0
2016-04-08 15:00:00,16.0,75.0,14.0,15.0,75.0,13.0,14.0,80.0,12.0,16.0,53.0,16.799999,55,17.0,51,0.0,0.0,0.0
2016-04-08 18:00:00,17.0,69.0,15.0,16.0,68.0,14.0,15.0,70.0,13.0,14.0,61.0,16.200001,59,16.799999,57,0.0,0.0,0.0
2016-04-08 21:00:00,17.0,60.0,14.0,15.0,63.0,14.0,14.0,67.0,11.0,9.0,81.0,13.3,71,15.1,68,0.0,0.0,0.0
2016-04-09 12:00:00,16.0,68.0,14.0,14.0,73.0,11.0,14.0,77.0,11.0,12.0,72.0,16.4,51,12.0,67,0.0,0.0,0.0
2016-04-09 15:00:00,19.0,65.0,15.0,17.0,69.0,15.0,16.0,75.0,13.0,15.0,64.0,17.6,57,16.1,47,0.0,0.0,0.0
2016-04-09 18:00:00,18.0,60.0,15.0,17.0,60.0,14.0,15.0,66.0,12.0,13.0,70.0,15.4,68,18.1,42,0.0,0.0,0.0
2016-04-09 21:00:00,16.0,61.0,13.0,14.0,64.0,12.0,14.0,67.0,11.0,11.0,70.0,11.3,79,15.7,47,0.0,0.0,0.0
2016-04-10 12:00:00,17.0,41.0,14.0,16.0,43.0,11.0,14.0,52.0,11.0,12.0,74.0,16.0,39,12.0,52,0.0,0.0,0.0
2016-04-10 15:00:00,19.0,38.0,15.0,18.0,40.0,14.0,16.0,48.0,13.0,15.0,65.0,18.1,29,17.5,38,0.0,0.0,0.0
2016-04-10 18:00:00,19.0,38.0,16.0,18.0,37.0,15.0,17.0,43.0,13.0,12.0,74.0,15.4,39,20.5,42,0.0,0.0,0.0
2016-04-10 21:00:00,18.0,42.0,15.0,17.0,42.0,14.0,15.0,47.0,13.0,10.0,77.0,11.1,62,17.0,63,0.0,0.0,0.0
2016-04-11 12:00:00,16.0,46.0,14.0,15.0,45.0,14.0,15.0,49.0,13.0,15.0,42.0,18.299999,37,13.7,90,0.0,0.0,0.0
2016-04-11 15:00:00,18.0,41.0,16.0,18.0,40.0,15.0,17.0,43.0,13.0,15.0,50.0,20.4,38,14.4,80,0.0,0.0,0.0
2016-04-11 18:00:00,19.0,41.0,16.0,19.0,40.0,16.0,17.0,43.0,14.0,15.0,44.0,18.200001,40,16.9,67,0.0,0.0,0.0
2016-04-11 21:00:00,18.0,40.0,15.0,17.0,36.0,14.0,16.0,40.0,13.0,12.0,51.0,16.799999,53,16.6,65,0.0,0.0,0.0
2016-04-12 12:00:00,18.0,78.0,14.0,16.0,84.0,14.0,15.0,87.0,13.0,16.0,42.0,15.5,77,14.0,80,1.0,1.0,1.0
2016-04-12 15:00:00,19.0,73.0,16.0,18.0,72.0,16.0,17.0,74.0,14.0,18.0,40.0,17.5,67,16.200001,59,0.0,0.0,0.0
2016-04-12 18:00:00,19.0,67.0,16.0,19.0,65.0,16.0,17.0,68.0,16.0,17.0,44.0,16.200001,68,19.4,54,0.0,0.0,0.0
2016-04-12 21:00:00,19.0,60.0,16.0,17.0,63.0,15.0,16.0,64.0,14.0,14.0,43.0,13.7,79,14.8,50,0.0,0.0,0.0
2016-04-13 12:00:00,16.0,62.0,15.0,14.0,66.0,14.0,13.0,71.0,10.0,17.0,70.0,16.6,65,12.9,70,0.0,0.0,0.0
2016-04-13 15:00:00,16.0,60.0,14.0,15.0,62.0,14.0,13.0,68.0,12.0,17.0,69.0,17.700001,55,20.0,35,0.0,0.0,0.0
2016-04-13 18:00:00,17.0,57.0,15.0,16.0,60.0,14.0,14.0,66.0,13.0,18.0,60.0,14.9,53,21.9,29,0.0,0.0,0.0
2016-04-13 21:00:00,16.0,59.0,13.0,14.0,66.0,12.0,13.0,69.0,12.0,13.0,79.0,11.5,79,18.6,39,0.0,0.0,0.0
2016-04-14 12:00:00,17.0,55.0,14.0,16.0,58.0,14.0,15.0,59.0,11.0,11.0,69.0,19.9,35,12.8,69,0.0,0.0,0.0
2016-04-14 15:00:00,20.0,40.0,17.0,19.0,37.0,16.0,19.0,36.0,16.0,11.0,68.0,21.700001,30,16.200001,70,0.0,0.0,0.0
2016-04-14 18:00:00,20.0,40.0,15.0,19.0,39.0,14.0,16.0,49.0,12.0,10.0,77.0,17.799999,39,15.7,85,0.0,0.0,0.0
2016-04-14 21:00:00,19.0,41.0,13.0,17.0,44.0,12.0,15.0,48.0,11.0,9.0,82.0,11.7,74,14.1,85,0.0,0.0,0.0
2016-04-15 12:00:00,18.0,49.0,15.0,17.0,49.0,15.0,17.0,51.0,15.0,18.0,38.0,16.200001,67,12.7,78,0.0,0.0,0.0
2016-04-15 15:00:00,19.0,54.0,16.0,18.0,54.0,15.0,18.0,55.0,16.0,21.0,26.0,16.1,83,13.9,56,0.0,0.0,0.0
2016-04-15 18:00:00,19.0,58.0,15.0,19.0,58.0,14.0,18.0,62.0,14.0,13.0,62.0,15.6,85,15.2,70,0.0,0.0,0.0
2016-04-15 21:00:00,18.0,64.0,14.0,17.0,68.0,14.0,16.0,69.0,13.0,13.0,66.0,15.0,90,11.7,75,0.0,0.0,0.0
2016-04-16 12:00:00,16.0,56.0,15.0,17.0,49.0,14.0,16.0,54.0,14.0,19.0,40.0,13.2,66,10.1,64,0.0,0.0,0.0
2016-04-16 15:00:00,18.0,46.0,16.0,18.0,39.0,16.0,17.0,45.0,16.0,20.0,49.0,15.1,70,14.4,44,0.0,0.0,0.0
2016-04-16 18:00:00,18.4,35.0,15.0,19.0,29.0,15.0,17.0,30.0,14.0,19.0,56.0,11.7,55,16.200001,47,0.0,0.0,0.0
2016-04-16 21:00:00,17.0,30.0,14.0,17.0,24.0,13.0,16.0,28.0,12.0,14.0,78.0,9.6,66,12.5,66,0.0,0.0,0.0
2016-04-17 12:00:00,17.0,37.0,16.0,17.0,34.0,16.0,16.0,37.0,15.0,16.0,46.0,15.2,43,10.9,67,0.0,0.0,0.0
2016-04-17 15:00:00,19.0,40.0,17.0,19.0,35.0,16.0,18.0,42.0,16.0,16.0,42.0,16.0,47,14.0,47,0.0,0.0,0.0
2016-04-17 18:00:00,18.6,48.0,16.0,19.0,44.0,16.0,18.0,48.0,14.0,16.0,32.0,12.3,69,16.1,37,0.0,0.0,0.0
2016-04-17 21:00:00,17.0,60.0,14.0,17.0,54.0,14.0,16.0,58.0,13.0,12.0,38.0,10.2,83,15.0,36,0.0,0.0,0.0
2016-04-18 12:00:00,17.0,49.0,16.0,15.0,50.0,15.0,14.0,57.0,14.0,19.0,27.0,14.1,47,13.9,56,0.0,0.0,0.0
2016-04-18 15:00:00,19.0,40.0,17.0,17.0,42.0,16.0,16.0,50.0,15.0,19.0,41.0,16.1,37,18.799999,33,0.0,0.0,0.0
2016-04-18 18:00:00,17.0,45.0,17.0,17.0,45.0,16.0,15.0,52.0,13.0,16.0,54.0,14.9,36,19.1,40,0.0,0.0,0.0
2016-04-18 21:00:00,17.0,48.0,14.0,15.0,52.0,14.0,14.0,55.0,12.0,13.0,74.0,10.7,63,17.200001,48,0.0,0.0,0.0
2016-04-19 12:00:00,17.0,47.0,15.0,17.0,46.0,15.0,16.0,51.0,15.0,13.0,54.0,17.1,39,13.1,89,0.0,0.0,0.0
2016-04-19 15:00:00,18.0,48.0,16.0,18.0,46.0,15.0,17.0,51.0,15.0,15.0,46.0,19.200001,41,14.3,84,0.0,0.0,0.0
2016-04-19 18:00:00,17.0,58.0,15.0,17.0,58.0,16.0,16.0,58.0,14.0,11.0,64.0,16.9,55,16.9,78,0.0,0.0,0.0
2016-04-19 21:00:00,17.0,64.0,15.0,16.0,64.0,14.0,15.0,66.0,14.0,10.0,70.0,14.6,64,16.9,77,0.0,0.0,0.0
2016-04-20 12:00:00,17.0,75.0,14.0,15.0,82.0,14.0,14.0,84.0,14.0,18.0,39.0,14.5,84,14.0,82,0.0,0.0,0.0
2016-04-20 15:00:00,18.0,74.0,17.0,17.0,74.0,15.0,16.0,80.0,14.0,19.0,48.0,17.299999,79,18.4,57,0.0,0.0,0.0
2016-04-20 18:00:00,19.0,70.0,17.0,19.0,68.0,15.0,17.0,74.0,15.0,15.0,56.0,16.9,80,18.4,57,0.0,0.0,0.0
2016-04-20 21:00:00,18.0,67.0,17.0,18.0,64.0,15.0,16.0,68.0,14.0,13.0,72.0,14.0,85,16.299999,53,0.0,0.0,0.0
2016-04-21 12:00:00,20.0,64.0,18.0,20.0,60.0,16.0,19.0,62.0,16.0,13.0,80.0,18.9,60,12.0,66,0.0,0.0,0.0
2016-04-21 15:00:00,21.0,62.0,19.0,21.0,58.0,17.0,20.0,60.0,17.0,16.0,70.0,18.9,63,16.700001,35,0.0,0.0,0.0
2016-04-21 18:00:00,18.0,66.0,16.0,17.0,64.0,15.0,16.0,68.0,15.0,17.0,67.0,16.700001,58,18.1,26,0.0,0.0,0.0
2016-04-21 21:00:00,18.0,64.0,16.0,16.0,66.0,15.0,15.0,68.0,15.0,14.0,76.0,12.2,85,16.5,26,0.0,0.0,0.0
2016-04-22 12:00:00,18.0,58.0,15.0,16.0,60.0,15.0,15.0,64.0,14.0,23.0,46.0,16.799999,39,10.8,55,0.0,0.0,0.0
2016-04-22 15:00:00,19.0,54.0,16.0,17.0,54.0,15.0,16.0,58.0,15.0,23.0,47.0,18.0,30,19.799999,25,0.0,0.0,0.0
2016-04-22 18:00:00,19.0,20.0,16.0,18.0,20.0,16.0,17.0,24.0,15.0,13.0,76.0,14.1,48,20.9,24,0.0,0.0,0.0
2016-04-22 21:00:00,18.0,22.0,16.0,17.0,23.0,15.0,16.0,28.0,15.0,13.0,57.0,11.0,65,17.4,33,0.0,0.0,0.0
2016-04-23 12:00:00,17.0,42.0,15.0,17.0,46.0,14.0,15.0,47.0,14.0,14.0,63.0,19.799999,30,12.6,54,0.0,0.0,0.0
2016-04-23 15:00:00,19.0,32.0,19.0,18.0,38.0,15.0,19.0,32.0,15.0,16.0,50.0,20.9,24,20.6,31,0.0,0.0,0.0
2016-04-23 18:00:00,22.0,30.0,17.0,21.0,28.0,16.0,19.0,33.0,16.0,16.0,22.0,18.799999,29,22.9,28,0.0,0.0,0.0
2016-04-23 21:00:00,20.0,30.0,15.0,19.0,28.0,16.0,17.0,32.0,15.0,14.0,38.0,13.8,56,20.6,28,0.0,0.0,0.0
2016-04-24 12:00:00,19.0,40.0,17.0,18.0,44.0,16.0,17.0,49.0,15.0,18.0,42.0,20.9,32,17.9,49,0.0,0.0,0.0
2016-04-24 15:00:00,21.0,25.0,18.0,20.0,22.0,17.0,19.0,27.0,16.0,20.0,34.0,23.1,29,24.0,34,0.0,0.0,0.0
2016-04-24 18:00:00,22.0,10.0,20.0,22.0,10.0,17.0,20.0,10.0,17.0,17.0,26.0,19.799999,22,25.4,35,0.0,0.0,0.0
2016-04-24 21:00:00,20.0,20.0,20.0,19.0,20.0,17.0,18.0,24.0,16.0,15.0,37.0,14.9,37,19.799999,39,0.0,0.0,0.0
2016-04-25 12:00:00,20.0,40.0,18.0,19.0,38.0,17.0,18.0,43.0,16.0,20.0,36.0,23.1,33,16.0,58,0.0,0.0,0.0
2016-04-25 15:00:00,24.0,38.0,20.0,23.0,37.0,18.0,22.0,42.0,18.0,20.0,24.0,24.4,29,20.0,43,0.0,0.0,0.0
2016-04-25 18:00:00,24.0,37.0,20.0,24.0,36.0,18.0,22.0,41.0,18.0,19.0,10.0,19.9,43,20.200001,44,0.0,0.0,0.0
2016-04-25 21:00:00,23.0,42.0,21.0,23.0,42.0,18.0,21.0,46.0,18.0,15.0,32.0,16.6,58,18.5,53,0.0,0.0,0.0
2016-04-26 12:00:00,20.0,37.0,18.0,19.0,39.0,18.0,18.0,42.0,18.0,22.0,32.0,18.299999,45,14.9,57,0.0,0.0,0.0
2016-04-26 15:00:00,20.0,36.0,19.0,19.0,36.0,18.0,18.0,40.0,18.0,24.0,34.0,20.200001,48,17.700001,49,0.0,0.0,0.0
2016-04-26 18:00:00,20.0,48.0,19.0,18.0,52.0,18.0,17.0,55.0,16.0,23.0,37.0,18.0,44,18.1,41,0.0,0.0,0.0
2016-04-26 21:00:00,19.0,55.0,19.0,17.0,62.0,17.0,16.0,64.0,16.0,21.0,47.0,13.4,59,17.4,43,0.0,0.0,0.0
2016-04-27 12:00:00,19.0,42.0,19.0,19.0,46.0,16.0,17.0,47.0,17.0,17.0,44.0,16.9,41,14.9,59,0.0,0.0,0.0
2016-04-27 15:00:00,21.0,35.0,20.0,21.0,32.0,17.0,19.0,38.0,18.0,17.0,42.0,18.200001,36,19.0,39,0.0,0.0,0.0
2016-04-27 18:00:00,23.0,31.0,21.0,22.0,30.0,18.0,20.0,36.0,17.0,15.0,64.0,17.200001,44,20.1,37,0.0,0.0,0.0
2016-04-27 21:00:00,21.0,37.0,20.0,20.0,37.0,18.0,19.0,42.0,17.0,14.0,68.0,14.1,64,18.200001,36,0.0,0.0,0.0
2016-04-28 12:00:00,20.0,50.0,19.0,19.0,54.0,17.0,18.0,55.0,17.0,18.0,46.0,19.0,40,14.9,64,0.0,0.0,0.0
2016-04-28 15:00:00,22.0,45.0,21.0,21.0,46.0,17.0,19.0,53.0,17.0,18.0,36.0,20.1,37,19.1,57,0.0,0.0,0.0
2016-04-28 18:00:00,22.0,47.0,20.0,21.0,49.0,17.0,19.0,55.0,17.0,19.0,38.0,18.299999,38,20.4,56,0.0,0.0,0.0
2016-04-28 21:00:00,21.0,47.0,20.0,19.0,49.0,17.0,18.0,55.0,17.0,17.0,49.0,15.3,58,18.200001,49,0.0,0.0,0.0
2016-04-29 12:00:00,20.0,41.0,19.0,19.0,39.0,17.0,19.0,43.0,17.0,21.0,39.0,20.0,58,19.4,59,0.0,0.0,0.0
2016-04-29 15:00:00,21.0,39.0,20.0,21.0,37.0,17.0,20.0,40.0,18.0,16.0,59.0,20.799999,58,23.1,49,0.0,0.0,0.0
2016-04-29 18:00:00,21.0,38.0,18.0,20.0,34.0,17.0,19.0,36.0,17.0,18.0,56.0,18.5,58,24.9,50,0.0,0.0,0.0
2016-04-29 21:00:00,20.0,34.0,17.0,19.0,32.0,17.0,18.0,36.0,17.0,16.0,63.0,16.0,68,21.799999,59,0.0,0.0,0.0
2016-04-30 12:00:00,24.0,53.0,22.0,23.0,52.0,20.0,24.0,49.0,21.0,22.0,30.0,22.799999,48,19.6,58,0.0,0.0,0.0
2016-04-30 15:00:00,25.0,47.0,24.0,25.0,46.0,20.0,26.0,43.0,22.0,23.0,30.0,24.700001,49,25.799999,43,0.0,0.0,0.0
2016-04-30 18:00:00,23.0,68.0,21.0,22.0,68.0,20.0,22.0,70.0,20.0,17.0,38.0,21.9,53,22.200001,88,0.0,0.0,0.0
2016-04-30 21:00:00,22.0,72.0,20.0,21.0,74.0,20.0,20.0,76.0,19.0,16.0,38.0,18.200001,73,19.6,94,0.0,0.0,0.0
2016-05-01 12:00:00,19.0,64.0,18.0,19.0,62.0,19.0,19.0,69.0,19.0,22.0,18.0,22.200001,61,13.3,62,0.0,0.0,0.0
2016-05-01 15:00:00,18.0,63.0,17.0,18.0,59.0,19.0,17.0,62.0,18.0,26.0,5.0,21.9,84,13.5,71,0.0,0.0,0.0
2016-05-01 18:00:00,17.0,60.0,17.0,17.0,53.0,19.0,16.0,56.0,17.0,23.0,37.0,19.299999,83,14.4,77,0.0,0.0,0.0
2016-05-01 21:00:00,16.0,54.0,17.0,17.0,49.0,18.0,16.0,52.0,17.0,20.0,57.0,18.1,92,13.5,78,0.0,0.0,0.0
2016-05-02 12:00:00,24.0,53.0,22.0,23.0,52.0,20.0,24.0,49.0,21.0,27.0,42.0,14.1,83,16.4,56,0.0,0.0,0.0
2016-05-02 15:00:00,25.0,47.0,24.0,25.0,46.0,20.0,26.0,43.0,22.0,28.0,37.0,14.4,77,18.6,42,0.0,0.0,0.0
2016-05-02 18:00:00,23.0,68.0,21.0,22.0,68.0,20.0,22.0,70.0,20.0,20.0,78.0,12.7,77,20.200001,41,0.0,0.0,0.0
2016-05-02 21:00:00,22.0,72.0,20.0,21.0,74.0,20.0,20.0,76.0,19.0,18.0,82.0,11.5,77,17.4,42,0.0,0.0,0.0
2016-05-03 12:00:00,19.0,64.0,18.0,19.0,62.0,19.0,19.0,69.0,19.0,15.0,78.0,19.200001,42,16.700001,50,0.0,0.0,0.0
2016-05-03 15:00:00,18.0,63.0,17.0,18.0,59.0,19.0,17.0,62.0,18.0,12.0,80.0,19.5,41,20.799999,52,0.0,0.0,0.0
2016-05-03 18:00:00,17.0,60.0,17.0,17.0,53.0,19.0,16.0,56.0,17.0,12.0,71.0,17.4,42,22.299999,64,0.0,0.0,0.0
2016-05-03 21:00:00,16.0,54.0,17.0,17.0,49.0,18.0,16.0,52.0,17.0,12.0,60.0,14.2,63,20.0,78,0.0,0.0,0.0
2016-05-04 12:00:00,22.0,22.0,20.0,21.0,21.0,19.0,21.0,24.0,19.0,23.0,10.0,21.0,32,17.4,85,0.0,0.0,0.0
2016-05-04 15:00:00,24.0,10.0,22.0,23.0,10.0,19.0,22.0,21.0,20.0,22.0,21.0,22.299999,56,18.6,83,0.0,0.0,0.0
2016-05-04 18:00:00,22.0,25.0,20.0,22.0,22.0,19.0,21.0,26.0,19.0,19.0,33.0,21.5,54,20.700001,76,0.0,0.0,0.0
2016-05-04 21:00:00,21.0,27.0,19.0,21.0,22.0,19.0,20.0,27.0,19.0,16.0,37.0,18.200001,68,16.9,71,0.0,0.0,0.0
2016-05-05 12:00:00,21.0,42.0,20.0,20.0,40.0,18.0,20.0,43.0,18.0,23.0,32.0,18.6,89,15.8,59,0.0,0.0,0.0
2016-05-05 15:00:00,24.0,30.0,22.0,24.0,24.0,19.0,23.0,25.0,21.0,25.0,23.0,19.6,87,18.200001,43,0.0,0.0,0.0
2016-05-05 18:00:00,25.0,22.0,22.0,25.0,21.0,20.0,24.0,26.0,20.0,26.0,26.0,15.8,84,20.200001,38,0.0,0.0,0.0
2016-05-05 21:00:00,24.0,43.0,21.0,24.0,41.0,20.0,23.0,43.0,20.0,23.0,46.0,13.3,84,17.4,47,0.0,0.0,0.0
2016-05-06 12:00:00,23.0,67.0,21.0,23.0,66.0,20.0,21.0,70.0,20.0,22.0,69.0,18.1,43,17.1,61,0.0,0.0,0.0
2016-05-06 15:00:00,23.0,68.0,22.0,23.0,66.0,21.0,22.0,70.0,20.0,21.0,69.0,20.200001,37,22.4,32,0.0,0.0,0.0
2016-05-06 18:00:00,23.0,70.0,21.0,22.0,67.0,21.0,22.0,70.0,20.0,20.0,76.0,17.4,47,23.5,34,0.0,0.0,0.0
2016-05-06 21:00:00,21.0,63.0,19.0,21.0,62.0,20.0,20.0,66.0,19.0,15.0,80.0,14.4,69,20.5,38,0.0,0.0,0.0
2016-05-07 12:00:00,21.0,42.0,20.0,21.0,40.0,19.0,20.0,47.0,19.0,21.0,37.0,22.4,39,18.700001,60,0.0,0.0,0.0
2016-05-07 15:00:00,23.0,31.0,21.0,23.0,27.0,20.0,22.0,33.0,20.0,21.0,30.0,24.0,39,22.1,49,0.0,0.0,0.0
2016-05-07 18:00:00,23.0,32.0,21.0,23.0,28.0,20.0,22.0,33.0,20.0,20.0,34.0,20.6,44,22.9,39,0.0,0.0,0.0
2016-05-07 21:00:00,22.0,38.0,20.0,21.0,36.0,20.0,20.0,40.0,19.0,17.0,48.0,15.7,64,19.0,49,0.0,0.0,0.0
2016-05-08 12:00:00,22.0,47.0,21.0,21.0,47.0,19.0,20.0,49.0,19.0,23.0,35.0,20.9,48,14.1,86,0.0,0.0,0.0
2016-05-08 15:00:00,24.0,31.0,22.0,24.0,30.0,20.0,23.0,31.0,20.0,26.0,22.0,21.799999,40,15.8,81,0.0,0.0,0.0
2016-05-08 18:00:00,25.0,32.0,23.0,25.0,28.0,20.0,24.0,32.0,20.0,22.0,37.0,18.1,50,18.299999,66,0.0,0.0,0.0
2016-05-08 21:00:00,22.0,38.0,21.0,22.0,38.0,20.0,21.0,44.0,19.0,17.0,58.0,15.1,60,15.6,66,0.0,0.0,0.0
2016-05-09 12:00:00,22.0,54.0,22.0,21.0,51.0,20.0,20.0,57.0,19.0,22.0,39.0,16.1,68,16.1,63,0.0,0.0,0.0
2016-05-09 15:00:00,24.0,40.0,23.0,24.0,38.0,20.0,22.0,44.0,20.0,22.0,41.0,17.9,62,21.200001,45,0.0,0.0,0.0
2016-05-09 18:00:00,23.0,40.0,21.0,23.0,38.0,20.0,22.0,44.0,20.0,19.0,49.0,16.4,74,22.1,39,0.0,0.0,0.0
2016-05-09 21:00:00,21.0,54.0,20.0,21.0,50.0,20.0,20.0,56.0,19.0,18.0,64.0,14.4,82,20.4,47,0.0,0.0,0.0
2016-05-10 12:00:00,20.0,68.0,20.0,18.0,74.0,19.0,17.0,80.0,18.0,14.0,82.0,20.1,43,16.9,71,0.0,0.0,0.0
2016-05-10 15:00:00,20.0,69.0,20.0,18.0,76.0,19.0,17.0,80.0,18.0,15.0,76.0,21.1,39,20.4,50,0.0,0.0,0.0
2016-05-10 18:00:00,20.0,60.0,19.0,18.0,65.0,18.0,17.0,70.0,17.0,15.0,64.0,20.200001,47,21.4,49,0.0,0.0,0.0
2016-05-10 21:00:00,20.0,58.0,18.0,18.0,64.0,18.0,17.0,68.0,17.0,15.0,64.0,15.6,67,19.5,54,0.0,0.0,0.0
2016-05-11 12:00:00,22.0,51.0,20.0,21.0,52.0,18.0,19.0,58.0,18.0,19.0,49.0,20.4,50,14.3,69,0.0,0.0,0.0
2016-05-11 15:00:00,24.0,39.0,22.0,23.0,37.0,19.0,21.0,43.0,19.0,20.0,39.0,21.5,49,18.299999,52,0.0,0.0,0.0
2016-05-11 18:00:00,22.0,42.0,22.0,21.0,44.0,19.0,20.0,48.0,19.0,17.0,54.0,19.5,56,20.299999,39,0.0,0.0,0.0
2016-05-11 21:00:00,21.0,48.0,19.0,19.0,50.0,18.0,18.0,54.0,18.0,15.0,62.0,16.4,72,19.1,42,0.0,0.0,0.0
2016-05-12 12:00:00,23.0,52.0,20.0,23.0,52.0,19.0,22.0,55.0,19.0,25.0,36.0,16.6,62,18.1,59,0.0,0.0,0.0
2016-05-12 15:00:00,24.0,46.0,21.0,24.0,44.0,20.0,23.0,46.0,20.0,24.0,38.0,20.4,49,21.299999,52,0.0,0.0,0.0
